Date,Open,High,Low,Close,Adj Close,Volume,macd,sig,hist,buy_price,sell_price,trigger_signal,position,holding,cash_holding,holding_value,market_value,portfolio_value,daily_return,cumulative_ret
2020-10-19,38.50,38.50,36.20,36.20,36.01,9939505,0.36,0.03,0.32,,,0.00,1.00,2000.00,18500.00,72400.00,0.00,90900.00,-0.04,-0.09
2020-10-20,36.30,37.60,36.25,37.45,37.25,5224398,0.39,0.10,0.28,,,0.00,1.00,2000.00,18500.00,74900.00,0.00,93400.00,0.03,-0.07
2020-10-21,36.60,36.95,36.30,36.60,36.41,7037320,0.34,0.15,0.19,,,0.00,1.00,2000.00,18500.00,73200.00,0.00,91700.00,-0.02,-0.08
2020-10-22,36.85,37.10,36.00,36.25,36.06,6005386,0.27,0.18,0.10,,,0.00,1.00,2000.00,18500.00,72500.00,0.00,91000.00,-0.01,-0.09
2020-10-23,36.45,37.40,36.10,37.20,37.01,8201171,0.29,0.20,0.09,,,0.00,1.00,2000.00,18500.00,74400.00,0.00,92900.00,0.02,-0.07
2020-10-27,37.20,37.85,36.15,37.55,37.35,7707500,0.33,0.22,0.10,,,0.00,1.00,2000.00,18500.00,75100.00,0.00,93600.00,0.01,-0.06
2020-10-28,37.55,40.50,37.55,40.15,39.94,32949918,0.56,0.29,0.27,,,0.00,1.00,2000.00,18500.00,80300.00,0.00,98800.00,0.06,-0.01
2020-10-29,39.90,42.50,39.60,41.60,41.38,36880710,0.86,0.41,0.45,,,0.00,1.00,2000.00,18500.00,83200.00,0.00,101700.00,0.03,0.02
2020-10-30,41.75,43.60,40.20,40.35,40.14,30071815,0.98,0.52,0.46,,,0.00,1.00,2000.00,18500.00,80700.00,0.00,99200.00,-0.02,-0.01
2020-11-02,41.00,43.20,40.60,42.70,42.48,18604257,1.25,0.67,0.58,,,0.00,1.00,2000.00,18500.00,85400.00,0.00,103900.00,0.05,0.04
2020-11-03,42.80,43.85,41.80,43.00,42.77,12298633,1.47,0.83,0.64,,,0.00,1.00,2000.00,18500.00,86000.00,0.00,104500.00,0.01,0.05
2020-11-04,43.00,43.80,41.80,43.25,43.02,9380483,1.65,0.99,0.66,,,0.00,1.00,2000.00,18500.00,86500.00,0.00,105000.00,0.00,0.05
2020-11-05,44.15,44.30,42.75,43.65,43.42,13237376,1.80,1.15,0.65,,,0.00,1.00,2000.00,18500.00,87300.00,0.00,105800.00,0.01,0.06
2020-11-06,43.50,47.10,43.25,45.20,44.96,16894476,2.02,1.32,0.69,,,0.00,1.00,2000.00,18500.00,90400.00,0.00,108900.00,0.03,0.09
2020-11-09,46.30,47.30,45.65,46.50,46.26,18988177,2.27,1.51,0.76,,,0.00,1.00,2000.00,18500.00,93000.00,0.00,111500.00,0.02,0.12
2020-11-10,47.00,47.20,44.65,45.20,44.96,12039750,2.34,1.68,0.66,,,0.00,1.00,2000.00,18500.00,90400.00,0.00,108900.00,-0.02,0.09
2020-11-11,45.20,47.15,42.50,43.50,43.27,20524690,2.24,1.79,0.44,,,0.00,1.00,2000.00,18500.00,87000.00,0.00,105500.00,-0.03,0.06
2020-11-12,44.30,45.95,44.30,45.20,44.96,11768823,2.26,1.89,0.38,,,0.00,1.00,2000.00,18500.00,90400.00,0.00,108900.00,0.03,0.09
2020-11-13,45.15,45.95,45.00,45.90,45.66,6039291,2.31,1.97,0.34,,,0.00,1.00,2000.00,18500.00,91800.00,0.00,110300.00,0.01,0.10
2020-11-16,46.60,48.85,46.30,47.75,47.50,15767626,2.47,2.07,0.40,,,0.00,1.00,2000.00,18500.00,95500.00,0.00,114000.00,0.03,0.14
2020-11-17,47.75,48.25,46.15,46.85,46.60,8355000,2.50,2.16,0.34,,,0.00,1.00,2000.00,18500.00,93700.00,0.00,112200.00,-0.02,0.12
2020-11-18,47.05,49.10,47.05,48.85,48.59,15759066,2.65,2.26,0.39,,,0.00,1.00,2000.00,18500.00,97700.00,0.00,116200.00,0.04,0.16
2020-11-19,48.95,49.20,47.90,48.80,48.54,8008000,2.73,2.35,0.38,,,0.00,1.00,2000.00,18500.00,97600.00,0.00,116100.00,-0.00,0.16
2020-11-20,48.70,49.50,48.30,48.40,48.15,7264479,2.74,2.43,0.31,,,0.00,1.00,2000.00,18500.00,96800.00,0.00,115300.00,-0.01,0.15
2020-11-23,49.20,50.00,48.55,50.00,49.74,17220443,2.84,2.51,0.33,,,0.00,1.00,2000.00,18500.00,100000.00,0.00,118500.00,0.03,0.18
2020-11-24,50.50,51.00,49.30,50.00,49.74,10290300,2.88,2.58,0.30,,,0.00,1.00,2000.00,18500.00,100000.00,0.00,118500.00,0.00,0.18
2020-11-25,50.25,51.20,48.55,49.00,48.74,16157382,2.80,2.63,0.18,,,0.00,1.00,2000.00,18500.00,98000.00,0.00,116500.00,-0.02,0.16
2020-11-26,49.30,49.60,45.95,48.50,48.25,16612086,2.67,2.64,0.03,,,0.00,1.00,2000.00,18500.00,97000.00,0.00,115500.00,-0.01,0.15
2020-11-27,48.75,50.75,48.60,50.50,50.24,10873534,2.70,2.65,0.05,,,0.00,1.00,2000.00,18500.00,101000.00,0.00,119500.00,0.03,0.19
2020-11-30,50.90,50.90,48.50,50.00,49.74,39508315,2.65,2.65,-0.00,,,-1.00,1.00,2000.00,18500.00,100000.00,0.00,118500.00,-0.01,0.18
2020-12-01,49.80,50.70,48.50,49.00,48.74,13323590,2.50,2.62,-0.12,,49.80,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,-0.00,0.18
2020-12-02,49.10,49.10,46.50,48.00,47.75,13026871,2.27,2.55,-0.28,,,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-03,48.40,49.95,47.75,49.50,49.24,8656202,2.19,2.48,-0.29,,,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-04,50.00,50.00,49.10,49.40,49.14,8868259,2.09,2.40,-0.31,,,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-07,48.95,50.20,48.95,49.80,49.54,8544317,2.02,2.32,-0.30,,,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-08,49.75,50.90,47.45,48.15,47.90,13014143,1.81,2.22,-0.41,,,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-09,48.50,48.70,47.10,47.70,47.45,9547400,1.59,2.10,-0.50,,,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-10,47.70,47.70,45.45,45.95,45.71,15051650,1.26,1.93,-0.67,,,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-11,46.05,47.85,46.05,47.65,47.40,8702376,1.13,1.77,-0.64,,,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-14,47.65,48.00,46.35,47.80,47.55,8388129,1.02,1.62,-0.60,,,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-15,47.70,50.10,47.50,49.80,49.54,18246438,1.08,1.51,-0.43,,,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-16,50.30,50.70,49.40,50.35,50.09,10776515,1.16,1.44,-0.28,,,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-17,50.05,51.95,49.80,51.75,51.48,12553537,1.32,1.42,-0.09,,,0.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-18,51.90,55.50,51.90,53.85,53.57,67045678,1.60,1.45,0.15,,,1.00,0.00,0.00,118100.00,0.00,0.00,118100.00,0.00,0.18
2020-12-21,54.05,55.65,53.40,54.40,54.12,19529809,1.85,1.53,0.31,54.05,,0.00,1.00,2000.00,10000.00,108800.00,108800.00,118800.00,0.01,0.19
2020-12-22,54.40,55.90,53.95,54.95,54.66,10445502,2.06,1.64,0.42,,,0.00,1.00,2000.00,10000.00,109900.00,0.00,119900.00,0.01,0.20
2020-12-23,55.25,59.45,55.15,58.95,58.64,21039506,2.52,1.82,0.71,,,0.00,1.00,2000.00,10000.00,117900.00,0.00,127900.00,0.07,0.28
2020-12-24,58.80,58.80,58.80,58.80,58.49,0,2.85,2.02,0.82,,,0.00,1.00,2000.00,10000.00,117600.00,0.00,127600.00,-0.00,0.28
2020-12-28,58.80,59.95,57.85,59.50,59.19,7471524,3.12,2.24,0.88,,,0.00,1.00,2000.00,10000.00,119000.00,0.00,129000.00,0.01,0.29
2020-12-29,60.05,61.30,58.85,60.65,60.33,11286465,3.40,2.47,0.92,,,0.00,1.00,2000.00,10000.00,121300.00,0.00,131300.00,0.02,0.31
